Line Name,Replicate,Activity,str_idx,pro_idx,sec_idx,gen_idx,Corrected activity
#01,r0,0.0054250887901738645,2,6,16,22,-5.216721012837224
#01,r1,0.005470604462374471,2,6,16,22,-5.208366163649002
#01,r2,0.005532602321888791,2,6,16,22,-5.197096991517136
#02,r0,4.1251653161869854e-05,4,11,18,19,-10.095819369335242
#02,r1,3.66869783376127e-05,4,11,18,19,-10.213088679554048
#02,r2,2.4940363565981423e-05,4,11,18,19,-10.599023040193078
#03,r0,_,1,5,16,19,
#03,r1,_,1,5,16,19,
#03,r2,_,1,5,16,19,
#04,r0,_,1,11,18,19,
#04,r1,_,1,11,18,19,
#04,r2,_,1,11,18,19,
#05,r0,0.0002572384710201701,3,8,16,22,-8.265507000502517
#05,r1,0.000256178562144473,3,8,16,22,-8.269635848253774
#05,r2,0.00026798736023598185,3,8,16,22,-8.224570741864216
#06,r0,1e-05,2,11,17,19,-11.512925464970229
#06,r1,0.0005126512546344651,2,11,17,19,-7.575914759500217
#06,r2,1e-05,2,11,17,19,-11.512925464970229
#07,r0,_,4,8,17,22,
#07,r1,_,4,8,17,22,
#07,r2,_,4,8,17,22,
#08,r0,0.00018850267389620314,3,8,15,22,-8.57639836605107
#08,r1,0.00019876541811513735,3,8,15,22,-8.523385232016576
#08,r2,0.00019112559490796566,3,8,15,22,-8.562579781055586
#09,r0,0.0004968111535790698,4,11,15,22,-7.607300576753484
#09,r1,0.0005649634765034221,4,11,15,22,-7.47874947226408
#09,r2,0.0005074344617737856,4,11,15,22,-7.586142994749536
#10,r0,0.0011271065464292227,2,8,16,22,-6.788101508526895
#10,r1,0.0011355614742202882,2,8,16,22,-6.780628059425012
#10,r2,0.0010378052614328226,2,8,16,22,-6.870647121248899
#11,r0,1e-05,2,5,15,21,-11.512925464970229
#11,r1,0.0006741044482238937,2,5,15,21,-7.302125491366983
#11,r2,1e-05,2,5,15,21,-11.512925464970229
#12,r0,8.073396582830048e-05,3,11,15,19,-9.424351181172067
#12,r1,0.00010588631003537118,3,11,15,19,-9.153144586278287
#12,r2,9.142067361325525e-05,3,11,15,19,-9.300038916752062
#13,r0,0.0009108235378580734,4,13,16,22,-7.001161381049686
#13,r1,0.0009848529793125972,4,13,16,22,-6.923018187513625
#13,r2,0.0009414698356750533,4,13,16,22,-6.9680682489623065
#14,r0,1e-05,1,14,16,20,-11.512925464970229
#14,r1,1e-05,1,14,16,20,-11.512925464970229
#14,r2,1e-05,1,14,16,20,-11.512925464970229
#15,r0,1e-05,1,6,18,19,-11.512925464970229
#15,r1,2.324266580433618e-05,1,6,18,19,-10.66952092497136
#15,r2,1e-05,1,6,18,19,-11.512925464970229
#16,r0,1.1688396460083407e-05,2,13,15,21,-11.356913963823922
#16,r1,1.4926656297170724e-05,2,13,15,21,-11.112361930158038
#16,r2,1e-05,2,13,15,21,-11.512925464970229
#17,r0,_,4,7,18,19,
#17,r1,_,4,7,18,19,
#17,r2,_,4,7,18,19,
#18,r0,1e-05,1,13,18,20,-11.512925464970229
#18,r1,1e-05,1,13,18,20,-11.512925464970229
#18,r2,1e-05,1,13,18,20,-11.512925464970229
#19,r0,1e-05,3,7,15,21,-11.512925464970229
#19,r1,1e-05,3,7,15,21,-11.512925464970229
#19,r2,1.2461701749808343e-05,3,7,15,21,-11.292850476899591
#20,r0,1e-05,1,11,18,20,-11.512925464970229
#20,r1,0.012709693887146463,1,11,18,20,-4.365390278481001
#20,r2,1e-05,1,11,18,20,-11.512925464970229
#21,r0,_,2,10,16,22,
#21,r1,_,2,10,16,22,
#21,r2,_,2,10,16,22,
#22,r0,1e-05,2,14,16,20,-11.512925464970229
#22,r1,1.436953573723171e-05,2,14,16,20,-11.15040016617314
#22,r2,1e-05,2,14,16,20,-11.512925464970229
#23,r0,1e-05,2,12,17,21,-11.512925464970229
#23,r1,1e-05,2,12,17,21,-11.512925464970229
#23,r2,1e-05,2,12,17,21,-11.512925464970229
#24,r0,0.00034088647941884175,2,7,18,21,-7.983961041035988
#24,r1,0.00033327774695266,2,7,18,21,-8.006534340698119
#24,r2,0.00035133859431926484,2,7,18,21,-7.953760143299932
#25,r0,1e-05,3,10,15,20,-11.512925464970229
#25,r1,1.4595652026302108e-05,3,10,15,20,-11.134786880020783
#25,r2,1e-05,3,10,15,20,-11.512925464970229
#26,r0,0.00020200810534360224,1,8,16,21,-8.507202735904697
#26,r1,0.00018822633357302022,1,8,16,21,-8.577865417259057
#26,r2,0.00021039117780073771,1,8,16,21,-8.46654200858469
#27,r0,0.0019363940337913058,1,11,15,22,-6.246927780986261
#27,r1,0.0019225451960867706,1,11,15,22,-6.254105347842982
#27,r2,0.0019362551133873026,1,11,15,22,-6.246999525365255
#28,r0,1e-05,2,7,16,20,-11.512925464970229
#28,r1,1.6096483007949104e-05,2,7,16,20,-11.03690975654805
#28,r2,1e-05,2,7,16,20,-11.512925464970229
#29,r0,5.72879971935976e-05,4,9,16,21,-9.76741942924725
#29,r1,5.009455264640873e-05,4,9,16,21,-9.901598285397547
#29,r2,5.2337869756695285e-05,4,9,16,21,-9.857790361791896
#30,r0,1e-05,4,5,18,20,-11.512925464970229
#30,r1,1e-05,4,5,18,20,-11.512925464970229
#30,r2,1e-05,4,5,18,20,-11.512925464970229
#31,r0,2.304383260545152e-05,2,6,18,20,-10.678112390247778
#31,r1,3.1017173563147474e-05,2,6,18,20,-10.380969520964689
#31,r2,1.9242292317671533e-05,2,6,18,20,-10.858399976493596
#32,r0,1.1065447860844403e-05,3,9,17,20,-11.41168310983126
#32,r1,1e-05,3,9,17,20,-11.512925464970229
#32,r2,3.4702829557504755e-05,3,9,17,20,-10.268689330892006
#33,r0,0.0008463050169723933,4,14,16,22,-7.074630723180542
#33,r1,0.0008613037191032714,4,14,16,22,-7.057063364167008
#33,r2,0.0008298231301756552,4,14,16,22,-7.094297976055755
#34,r0,0.00023794993189945387,1,7,16,21,-8.34345027659407
#34,r1,0.0002091073700463985,1,7,16,21,-8.472662705635294
#34,r2,0.0001873353326417877,1,7,16,21,-8.582610324330584
#35,r0,0.0002177347502517288,1,10,17,21,-8.43223297797123
#35,r1,0.0002067601102290037,1,10,17,21,-8.483951324511198
#35,r2,0.00020643436792511217,1,10,17,21,-8.48552802695325
#36,r0,_,1,5,16,20,
#36,r1,_,1,5,16,20,
#36,r2,_,1,5,16,20,
#37,r0,0.001104601579483672,4,9,16,22,-6.808270570583605
#37,r1,0.0011473543698542964,4,9,16,22,-6.770296534885787
#37,r2,0.0011406244207786073,4,9,16,22,-6.776179429004083
#38,r0,0.002928016641996909,3,12,16,22,-5.833429999157111
#38,r1,0.002952298447926375,3,12,16,22,-5.825171277108135
#38,r2,0.0029210155905486034,3,12,16,22,-5.83582391818968
#39,r0,1.4980164857376784e-05,4,7,16,21,-11.108783574770415
#39,r1,1.7594276133755575e-05,4,7,16,21,-10.947936928488533
#39,r2,1e-05,4,7,16,21,-11.512925464970229
#40,r0,_,4,7,17,21,
#40,r1,_,4,7,17,21,
#40,r2,_,4,7,17,21,
#41,r0,1.2940785404475553e-05,4,8,15,20,-11.255126574869797
#41,r1,1e-05,4,8,15,20,-11.512925464970229
#41,r2,1.2236271820519594e-05,4,8,15,20,-11.311105917103829
#42,r0,0.0009993357905459389,1,9,16,21,-6.908419709121024
#42,r1,1e-05,1,9,16,21,-11.512925464970229
#42,r2,0.0010734672305220082,1,9,16,21,-6.836861466940883
#43,r0,_,4,9,17,19,
#43,r1,_,4,9,17,19,
#43,r2,_,4,9,17,19,
#44,r0,3.486958890827908e-05,2,12,18,21,-10.263895486612652
#44,r1,3.744446043469944e-05,2,12,18,21,-10.192651777908772
#44,r2,5.253473715833721e-05,2,12,18,21,-9.854035947008466
#45,r0,0.00010372126952229735,3,10,16,21,-9.173803357469977
#45,r1,8.800352719190372e-05,3,10,16,21,-9.33813366256314
#45,r2,9.157330047089296e-05,3,10,16,21,-9.298370808348022
#46,r0,1e-05,2,5,18,21,-11.512925464970229
#46,r1,1e-05,2,5,18,21,-11.512925464970229
#46,r2,1.470305591172276e-05,2,5,18,21,-11.1274552006335
#47,r0,0.000212284202703106,2,6,15,19,-8.457584602277501
#47,r1,0.00017951464664813736,2,6,15,19,-8.625253756439232
#47,r2,0.00018333031831018972,2,6,15,19,-8.604221014121881
#48,r0,_,3,12,17,20,
#48,r1,_,3,12,17,20,
#48,r2,_,3,12,17,20,
#49,r0,0.0003053135084431129,4,13,15,19,-8.094171412745974
#49,r1,0.00030648151544283007,4,13,15,19,-8.090353112912902
#49,r2,0.00026897549085322804,4,13,15,19,-8.220890294583176
#50,r0,1e-05,2,6,17,20,-11.512925464970229
#50,r1,1.944579480647922e-05,2,6,17,20,-10.847879716597964
#50,r2,1.2461701271802253e-05,2,6,17,20,-11.292850515257603
#51,r0,0.00029318492725810487,1,11,17,21,-8.134706996987711
#51,r1,0.0002939734996459026,1,11,17,21,-8.132020931947034
#51,r2,0.00028579665580010243,1,11,17,21,-8.16022999372625
#52,r0,1e-05,2,10,16,20,-11.512925464970229
#52,r1,1e-05,2,10,16,20,-11.512925464970229
#52,r2,1.0579304479816775e-05,2,10,16,20,-11.456610872842786
#53,r0,1e-05,4,8,15,19,-11.512925464970229
#53,r1,1.0215430470952578e-05,4,8,15,19,-11.491611189520183
#53,r2,2.033816638828067e-05,4,8,15,19,-10.80301131947624
#54,r0,0.00016111090515378082,4,9,18,22,-8.733417578242534
#54,r1,0.0001491156512454767,4,9,18,22,-8.810788370237397
#54,r2,0.0001544921946870494,4,9,18,22,-8.775366982727567
#55,r0,1e-05,2,9,16,21,-11.512925464970229
#55,r1,1e-05,2,9,16,21,-11.512925464970229
#55,r2,1e-05,2,9,16,21,-11.512925464970229
#56,r0,1.4677617334451442e-05,3,10,15,21,-11.129186854868577
#56,r1,2.995161060854167e-05,3,10,15,21,-10.415927458269705
#56,r2,1.3688367237692494e-05,3,10,15,21,-11.198964192563288
#57,r0,_,4,8,17,21,
#57,r1,_,4,8,17,21,
#57,r2,_,4,8,17,21,
#58,r0,0.00010877208848278896,3,12,15,19,-9.126255796134611
#58,r1,3.771014485229799e-05,3,12,15,19,-10.185581405484257
#58,r2,5.744423465506934e-05,3,12,15,19,-9.764695912838144
#59,r0,0.00018509683280807423,2,8,18,20,-8.594631449238536
#59,r1,1e-05,2,8,18,20,-11.512925464970229
#59,r2,1e-05,2,8,18,20,-11.512925464970229
#60,r0,0.00022549964692356828,4,14,15,22,-8.39719196477191
#60,r1,0.000218287662629264,4,14,15,22,-8.429696811675331
#60,r2,0.00022748340553944838,4,14,15,22,-8.38843326491746
#61,r0,1e-05,4,14,17,20,-11.512925464970229
#61,r1,1.4980164857376784e-05,4,14,17,20,-11.108783574770415
#61,r2,1.729763769178941e-05,4,14,17,20,-10.964940615391836
#62,r0,1.5703214540075387e-05,4,13,16,20,-11.061645118792477
#62,r1,1.5703214540075387e-05,4,13,16,20,-11.061645118792477
#62,r2,1e-05,4,13,16,20,-11.512925464970229
#63,r0,0.0005931023954964561,1,12,16,21,-7.430143500185824
#63,r1,0.0006157477020342309,1,12,16,21,-7.392673252949103
#63,r2,0.000581539494264538,1,12,16,21,-7.44983167040209
#64,r0,_,4,6,18,19,
#64,r1,_,4,6,18,19,
#64,r2,_,4,6,18,19,
