,Line name,Activity,0,6,11,15,20,25,30,35,40,45,50,55,60,116,151
0,#01_r0,0.0054250887901738645,0.132,0.162,0.189,0.214,0.241,0.268,0.297,0.323,0.352,0.377,0.403,0.429,0.454,,
1,#01_r1,0.005470604462374471,0.135,0.165,0.191,0.216,0.244,0.271,0.3,0.327,0.355,0.381,0.408,0.434,0.459,,
2,#01_r2,0.005532602321888791,0.138,0.168,0.196,0.221,0.25,0.277,0.306,0.333,0.362,0.388,0.414,0.441,0.466,,
3,#02_r0,4.1251653161869854e-05,0.066,0.066,0.066,0.067,0.067,0.067,0.068,0.068,0.068,0.068,0.068,0.069,0.069,0.071,0.072
4,#02_r1,3.66869783376127e-05,0.065,0.065,0.065,0.065,0.065,0.065,0.066,0.066,0.066,0.067,0.067,0.067,0.067,0.069,0.07
5,#02_r2,2.4940363565981423e-05,0.066,0.067,0.068,0.068,0.068,0.068,0.068,0.068,0.069,0.069,0.068,0.068,0.068,0.07,0.071
6,#05_r0,0.0002572384710201701,0.063,0.065,0.066,0.067,0.068,0.07,0.071,0.072,0.073,0.075,0.076,0.077,0.079,0.093,0.102
7,#05_r1,0.000256178562144473,0.063,0.064,0.065,0.066,0.067,0.068,0.07,0.071,0.072,0.074,0.075,0.076,0.078,0.092,0.101
8,#05_r2,0.00026798736023598185,0.064,0.065,0.066,0.068,0.069,0.071,0.073,0.074,0.076,0.077,0.078,0.079,0.081,0.095,0.104
9,#08_r0,0.00018850267389620314,0.067,0.068,0.068,0.069,0.07,0.07,0.071,0.072,0.073,0.074,0.075,0.076,0.077,0.088,0.095
10,#08_r1,0.00019876541811513735,0.064,0.065,0.066,0.067,0.068,0.069,0.069,0.07,0.071,0.072,0.073,0.074,0.075,0.087,0.094
11,#08_r2,0.00019112559490796566,0.064,0.064,0.065,0.066,0.066,0.067,0.068,0.069,0.07,0.071,0.072,0.073,0.074,0.085,0.092
12,#12_r0,8.073396582830048e-05,0.063,0.063,0.064,0.064,0.064,0.065,0.065,0.065,0.066,0.066,0.067,0.067,0.068,0.072,0.075
13,#12_r1,0.00010588631003537118,0.063,0.064,0.064,0.064,0.065,0.065,0.066,0.067,0.067,0.068,0.068,0.069,0.069,0.075,0.079
14,#12_r2,9.142067361325525e-05,0.063,0.063,0.065,0.065,0.065,0.066,0.066,0.067,0.067,0.067,0.068,0.068,0.069,0.074,0.077
15,#19_r0,8.275767178298563e-06,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.063,0.063,0.063
16,#19_r1,7.594600717745797e-06,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.065,0.065
17,#19_r2,1.2461701749808343e-05,0.065,0.065,0.065,0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.067,0.067
18,#22_r0,5.1214783858886916e-06,0.063,0.065,0.064,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065
19,#22_r1,1.436953573723171e-05,0.062,0.062,0.062,0.062,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.064,0.064,0.064
20,#22_r2,9.457213662531259e-06,0.061,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.063,0.063
21,#23_r0,6.401850949578458e-06,0.062,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.064
22,#23_r1,7.911157351620805e-06,0.063,0.063,0.063,0.063,0.063,0.063,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064
23,#23_r2,8.010082588246344e-06,0.062,0.062,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.064
24,#24_r0,0.00034088647941884175,0.064,0.065,0.066,0.067,0.068,0.07,0.071,0.073,0.074,0.076,0.077,0.079,0.081,0.101,0.115
25,#24_r1,0.00033327774695266,0.063,0.064,0.065,0.066,0.067,0.068,0.07,0.071,0.073,0.074,0.076,0.077,0.079,0.099,0.113
26,#24_r2,0.00035133859431926484,0.064,0.065,0.066,0.068,0.069,0.07,0.071,0.073,0.075,0.076,0.078,0.08,0.081,0.102,0.117
27,#25_r0,5.288239441248962e-06,0.066,0.067,0.066,0.066,0.067,0.066,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067
28,#25_r1,1.4595652026302108e-05,0.062,0.062,0.062,0.062,0.063,0.063,0.063,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064
29,#25_r2,8.880624818695804e-06,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.064,0.064,0.064,0.064,0.064,0.064,0.064
30,#28_r0,-4.989485638561049e-05,0.07,0.067,0.065,0.064,0.084,0.063,0.076,0.069,0.063,0.07,0.063,0.063,0.063,0.063,0.064
31,#28_r1,1.6096483007949104e-05,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.064,0.064,0.064,0.064,0.064,0.064,0.065,0.065
32,#28_r2,8.109009673349774e-06,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.066,0.065,0.065,0.065,0.066,0.066,0.066
33,#31_r0,2.304383260545152e-05,0.062,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.064,0.064,0.064,0.064,0.065,0.066
34,#31_r1,3.1017173563147474e-05,0.064,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.066,0.067,0.068,0.069
35,#31_r2,1.9242292317671533e-05,0.062,0.062,0.062,0.062,0.062,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.064,0.065
36,#32_r0,1.1065447860844403e-05,0.063,0.063,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.065,0.065
37,#32_r1,8.744952854308139e-06,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.065,0.065,0.065,0.065
38,#32_r2,3.4702829557504755e-05,0.062,0.062,0.062,0.062,0.063,0.063,0.063,0.063,0.064,0.064,0.064,0.064,0.064,0.066,0.067
39,#38_r0,0.002928016641996909,0.075,0.09,0.103,0.117,0.131,0.146,0.162,0.177,0.193,0.207,0.223,0.239,0.253,0.417,0.511
40,#38_r1,0.002952298447926375,0.074,0.088,0.101,0.114,0.129,0.144,0.16,0.175,0.191,0.206,0.222,0.238,0.253,0.418,0.512
41,#38_r2,0.0029210155905486034,0.065,0.076,0.088,0.102,0.116,0.129,0.146,0.161,0.177,0.192,0.207,0.222,0.237,0.403,0.496
42,#42_r0,0.0009993357905459389,0.072,0.076,0.08,0.083,0.089,0.098,0.102,0.105,0.11,0.116,0.121,0.125,0.13,0.185,0.222
43,#42_r1,-4.307470958212775e-06,0.051,0.052,0.052,0.052,0.051,0.052,0.051,0.051,0.051,0.052,0.051,0.051,0.052,0.051,0.051
44,#42_r2,0.0010734672305220082,0.083,0.087,0.089,0.093,0.097,0.102,0.106,0.111,0.116,0.121,0.126,0.131,0.136,0.2,0.244
45,#44_r0,3.486958890827908e-05,0.062,0.062,0.062,0.062,0.063,0.063,0.063,0.063,0.063,0.064,0.064,0.064,0.064,0.066,0.067
46,#44_r1,3.744446043469944e-05,0.061,0.062,0.062,0.062,0.062,0.063,0.063,0.063,0.063,0.063,0.063,0.064,0.064,0.066,0.067
47,#44_r2,5.253473715833721e-05,0.061,0.062,0.062,0.064,0.064,0.065,0.065,0.065,0.066,0.066,0.066,0.066,0.067,0.068,0.07
48,#45_r0,0.00010372126952229735,0.063,0.063,0.063,0.064,0.064,0.064,0.065,0.065,0.065,0.066,0.066,0.068,0.069,0.074,0.078
49,#45_r1,8.800352719190372e-05,0.063,0.063,0.063,0.063,0.064,0.064,0.064,0.065,0.065,0.065,0.066,0.066,0.067,0.072,0.076
50,#45_r2,9.157330047089296e-05,0.064,0.064,0.064,0.064,0.065,0.065,0.065,0.066,0.066,0.067,0.067,0.068,0.068,0.074,0.077
51,#46_r0,9.457214783267045e-06,0.062,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.064,0.064
52,#46_r1,7.5946007177457965e-06,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.064,0.064
53,#46_r2,1.470305591172276e-05,0.063,0.063,0.063,0.063,0.063,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.065,0.065
54,#47_r0,0.000212284202703106,0.064,0.065,0.065,0.066,0.067,0.068,0.069,0.07,0.071,0.072,0.073,0.074,0.075,0.087,0.096
55,#47_r1,0.00017951464664813736,0.064,0.065,0.065,0.066,0.067,0.068,0.069,0.069,0.07,0.071,0.072,0.073,0.074,0.084,0.091
56,#47_r2,0.00018333031831018972,0.065,0.066,0.066,0.067,0.067,0.068,0.069,0.07,0.071,0.072,0.074,0.075,0.076,0.085,0.092
57,#50_r0,9.785077933939897e-06,0.061,0.062,0.062,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.064,0.063
58,#50_r1,1.944579480647922e-05,0.061,0.062,0.061,0.062,0.062,0.062,0.063,0.063,0.063,0.063,0.063,0.063,0.064,0.064,0.064
59,#50_r2,1.2461701271802253e-05,0.061,0.061,0.061,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.063,0.063
60,#51_r0,0.00029318492725810487,0.065,0.067,0.068,0.069,0.071,0.072,0.073,0.074,0.076,0.077,0.079,0.08,0.081,0.098,0.11
61,#51_r1,0.0002939734996459026,0.064,0.065,0.066,0.067,0.068,0.069,0.07,0.071,0.073,0.074,0.076,0.078,0.079,0.096,0.108
62,#51_r2,0.00028579665580010243,0.066,0.067,0.069,0.069,0.07,0.072,0.073,0.074,0.075,0.076,0.078,0.079,0.081,0.098,0.109
63,#52_r0,1.8626148405133297e-06,0.063,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064
64,#52_r1,9.457213662531259e-06,0.06,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.062,0.062
65,#52_r2,1.0579304479816775e-05,0.061,0.061,0.062,0.062,0.062,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063
66,#55_r0,3.725228869635291e-06,0.062,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064
67,#55_r1,4.061568729432037e-06,0.061,0.062,0.061,0.062,0.062,0.061,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062
68,#55_r2,8.501883042363124e-06,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062
69,#56_r0,1.4677617334451442e-05,0.063,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.065,0.065,0.066
70,#56_r1,2.995161060854167e-05,0.062,0.062,0.062,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.065,0.065,0.066,0.066
71,#56_r2,1.3688367237692494e-05,0.063,0.063,0.063,0.063,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.065,0.065
72,#58_r0,0.00010877208848278896,0.068,0.07,0.071,0.071,0.071,0.072,0.072,0.072,0.073,0.074,0.074,0.074,0.075,0.081,0.086
73,#58_r1,3.771014485229799e-05,0.076,0.073,0.071,0.068,0.068,0.068,0.07,0.07,0.071,0.071,0.071,0.071,0.072,0.075,0.077
74,#58_r2,5.744423465506934e-05,0.064,0.065,0.065,0.065,0.066,0.066,0.066,0.066,0.067,0.067,0.067,0.068,0.068,0.071,0.073
75,#59_r0,0.00018509683280807423,0.064,0.074,0.066,0.067,0.073,0.069,0.074,0.074,0.075,0.075,0.076,0.075,0.078,0.088,0.095
76,#59_r1,8.230545137787985e-06,0.062,0.063,0.063,0.064,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.064,0.064
77,#59_r2,9.714419869519382e-06,0.063,0.063,0.063,0.063,0.063,0.063,0.062,0.062,0.063,0.063,0.063,0.064,0.064,0.064,0.064
78,#63_r0,0.0005931023954964561,0.066,0.069,0.071,0.073,0.076,0.078,0.081,0.083,0.086,0.089,0.091,0.094,0.097,0.132,0.156
79,#63_r1,0.0006157477020342309,0.067,0.069,0.071,0.073,0.076,0.078,0.082,0.084,0.087,0.09,0.093,0.096,0.099,0.135,0.159
80,#63_r2,0.000581539494264538,0.076,0.108,0.073,0.076,0.078,0.081,0.084,0.087,0.09,0.093,0.096,0.099,0.102,0.141,0.167
